id,ticker,strategy,universe,direction,entry_date,entry_price,shares,stop_price,take_profit,exit_date,exit_price,exit_reason,pnl,pnl_pct,mae,mfe,hold_days,confidence,regime_at_entry,regime_at_exit,status,config_version,created_at,updated_at,stop_order_id,tp_order_id
100,CARR,short_term_mr,sp500,long,2026-03-31,54.65,5,51.53,,2026-04-01T13:30:02.552000,56.64,broker_stop_fill,9.95,,1.0613,5.7457,,,transition_uncertain,transition_uncertain,closed,v3.0,2026-03-31 13:57:26,2026-04-08 00:03:52,,
101,COP,sector_rotation,sp500,long,2026-03-31,121.06,1,127.0,,2026-04-02T00:30:03.940575,126.9998,trailing_stop_fill,5.939799999999991,4.906492648273575,4.4606,11.6471,2,,transition_uncertain,transition_uncertain,closed,v3.0,2026-03-31 13:57:26,2026-04-08 00:03:52,,
102,CVX,momentum_breakout,sp500,long,2026-03-31,205.32,3,208.91,,2026-04-01T03:00:03.758787,208.9268,trailing_stop_fill,10.820399999999978,1.7566725112020225,-5.0604,3.7722,1,,transition_uncertain,transition_uncertain,closed,v3.0,2026-03-31 13:57:26,2026-04-08 00:03:52,,
103,D,mean_reversion,sp500,long,2026-03-31,59.38,13,60.62,,2026-04-07T23:45:03.745587,62.17,signal_exit,36.26999999999999,4.698551700909396,2.9808,6.0121,7,,transition_uncertain,transition_uncertain,closed,v3.0,2026-03-31 13:57:26,2026-04-08 00:03:52,,
104,DOW,sector_rotation,sp500,long,2026-03-31,36.39,3,40.68,,2026-04-01T03:30:03.758134,40.91,trailing_stop_fill,13.559999999999988,12.42099477878537,8.8211,17.4361,1,0.8767811704197112,transition_uncertain,transition_uncertain,closed,v3.0,2026-03-31 13:57:26,2026-04-08 00:07:42,,
105,NFLX,trend_following,sp500,long,2026-03-31,94.38,3,90.38,,2026-04-18T08:01:07.143601,95.961,reconcile_fill,4.743000000000009,1.6751430387794057,-0.9642,15.427,18,,,,closed,v3.0,2026-03-31 13:57:26,2026-04-22 01:13:45,,
106,MSI,connors_rsi2,sp500,long,2026-04-01T00:00:04.575552,426.78,1,414.44,,2026-04-07T23:45:03.735932,440.98,signal_exit,14.200000000000045,3.327241201555848,1.0029,3.6166,6,0.0,transition_uncertain,transition_uncertain,closed,v3.2,2026-03-31 14:00:04,2026-04-08 00:03:52,,
107,HCA,connors_rsi2,sp500,long,2026-04-01T00:30:04.604331,467.83,1,452.7,,2026-04-02T23:16:08.425206,470.0,signal_exit,2.17,,-1.7293,2.1097,,0.0,transition_uncertain,transition_uncertain,closed,v3.2,2026-03-31 14:30:04,2026-04-08 00:03:52,,
109,BSX,opening_gap,sp500,long,2026-03-31T23:32:18.394503,62.7378,7,60.65,,2026-04-02T00:00:04.521661,62.14,trailing_stop_fill,-4.184599999999996,-0.9528545788982071,-2.0766,2.3785,1,0.0,transition_uncertain,transition_uncertain,closed,v3.2,2026-04-01 02:04:19,2026-04-08 00:03:52,,
113,DVN,sector_rotation,sp500,long,2026-04-02T23:45:03.501714,50.3,5,45.73748267595603,,2026-04-08 13:30:11.180000+00:00,45.9008,trailing_stop_fill,-22.0,-8.75,,,,0.0,,,closed,,2026-04-02 13:45:03,2026-04-08 23:54:13,,
114,MRVL,momentum_breakout,sp500,long,2026-04-02T23:45:03.512626,102.38,4,98.9162,,2026-04-07T00:15:04.064177,106.7714,trailing_stop_fill,17.565600000000018,4.289314319202974,-1.1916,9.2499,4,0.0,transition_uncertain,transition_uncertain,closed,v3.2,2026-04-02 13:45:03,2026-04-08 00:03:52,,
115,COP,sector_rotation,sp500,long,2026-04-06T23:45:03.568408,130.51,2,119.30914938798529,,2026-04-08T23:45:04.101450,121.48,trailing_stop_fill,-18.059999999999974,-6.919010037545006,-0.8467,2.4174,2,0.0,,transition_uncertain,closed,,2026-04-06 13:45:03,2026-04-08 13:45:04,,
116,OXY,trend_following,sp500,long,2026-04-06T23:45:03.581125,62.96,3,58.2299,,2026-04-08T23:45:04.078434,56.4,trailing_stop_fill,-19.680000000000007,-10.419313850063535,-1.223,2.0727,2,0.0,,transition_uncertain,closed,,2026-04-06 13:45:03,2026-04-08 13:45:04,,
117,MRVL,momentum_breakout,sp500,long,2026-04-07T23:45:03.477862,108.63,4,101.5977,,2026-04-11T08:04:30.991215,124.41,trailing_stop_fill,63.120000000000005,14.526373929853634,-2.3934,19.525,3,0.0,,transition_uncertain,closed,,2026-04-07 13:45:03,2026-04-13 13:45:04,,
118,STZ,momentum_breakout,sp500,long,2026-04-14T00:12:35.866761,163.9457,5,159.5134,,2026-04-21T08:00:35.457300,159.52,reconcile_fill,-22.12849999999989,-2.699491355979436,-1.2539,1.8416,7,0.8996,recovery_early,,closed,,2026-04-13 14:12:35,2026-04-20 22:00:35,,
119,CARR,momentum_breakout,sp500,long,2026-04-14T00:12:35,63.31,11,60.2969,75.3625,2026-04-16T08:00:12.285391,61.955,reconcile_fill,-14.905000000000044,-2.140262201863851,-8.8612,2.6062,2,0.9996,recovery_early,,closed,v3.2,2026-04-14 06:36:27,2026-04-22 01:13:45,,
120,MRVL,momentum_breakout,sp500,long,2026-04-14T00:12:35,130.08,4,121.759,163.3642,2026-04-17T08:00:11.056058,129.8427,reconcile_fill,-0.9492000000000189,-0.18242619926199624,,,3,0.8825,recovery_early,,closed,v3.2,2026-04-14 06:36:27,2026-04-16 22:00:11,,
121,D,mean_reversion,sp500,long,2026-03-25,59.38,13,0.0,,2026-03-24,62.54,stop_loss,41.08,5.32,,,,0.0,,,closed,v3.2,2026-04-14 06:36:27,2026-04-14 06:36:27,,
