date,01_baseline,02_vix_lt20,03_vix_lt25,04_vix_lt30,05_roc_spike_20pct,06_roc_spike_30pct,07_roc_spike_50pct,08_roc_abs_30pct,09_panic_only_gt20,10_panic_only_gt25,11_combined_lt30_no_spike
2023-03-17,114966.16,99455.44,99129.42,99156.51,141549.36,145956.04,151779.78,145956.04,117085.94,111470.83,101745.15
2023-03-20,114966.16,99455.44,99129.42,99156.51,141549.36,145956.04,151779.78,145956.04,117085.94,111470.83,101745.15
2023-03-21,114966.16,99455.44,99129.42,99156.51,141549.36,145956.04,151779.78,145956.04,117085.94,111470.83,101745.15
2023-03-22,114966.16,99455.44,99129.42,99156.51,141549.36,145956.04,151779.78,145956.04,117085.94,111470.83,101745.15
2023-03-23,115879.46,99455.44,99916.91,99944.22,142673.83,147115.52,152985.52,147115.52,118016.07,111470.83,102553.42
2023-03-24,115879.46,99455.44,99916.91,99944.22,142673.83,147115.52,152985.52,147115.52,118016.07,111470.83,102553.42
2023-03-27,115879.46,99455.44,99916.91,99944.22,142673.83,147115.52,152985.52,147115.52,118016.07,115128.06,102553.42
2023-03-28,115879.46,99455.44,99916.91,99944.22,142673.83,147115.52,152985.52,147115.52,118016.07,115128.06,102553.42
2023-03-29,115879.46,99455.44,99916.91,99944.22,142673.83,147115.52,152985.52,147115.52,118016.07,115128.06,102553.42
2023-03-30,115879.46,99455.44,99916.91,99944.22,142673.83,147115.52,152985.52,147115.52,118016.07,115128.06,102553.42
2023-03-31,115879.46,99455.44,99916.91,99944.22,142673.83,147115.52,152985.52,147115.52,118016.07,115128.06,102553.42
2023-04-03,115879.46,99455.44,99916.91,99944.22,142673.83,147115.52,152985.52,147115.52,118016.07,115128.06,102553.42
2023-04-04,115879.46,99455.44,99916.91,99944.22,142673.83,147115.52,152985.52,147115.52,118016.07,115128.06,102553.42
2023-04-05,115879.46,99455.44,99916.91,99944.22,142673.83,147115.52,152985.52,147115.52,118016.07,115128.06,102553.42
2023-04-06,115879.46,99455.44,99916.91,99944.22,142673.83,147115.52,152985.52,147115.52,118016.07,115128.06,102553.42
2023-04-10,115879.46,99455.44,99916.91,99944.22,142673.83,147115.52,152985.52,147115.52,118016.07,115128.06,102553.42
2023-04-11,115879.46,99455.44,99916.91,99944.22,142673.83,147115.52,152985.52,147115.52,118016.07,115128.06,102553.42
2023-04-12,115879.46,99455.44,99916.91,99944.22,142673.83,147115.52,152985.52,147115.52,118016.07,115128.06,102553.42
2023-04-13,115879.46,99455.44,99916.91,99944.22,142673.83,147115.52,152985.52,147115.52,118016.07,115128.06,102553.42
2023-04-14,115879.46,99455.44,99916.91,99944.22,142673.83,147115.52,152985.52,147115.52,118016.07,115128.06,102553.42
2023-04-17,115879.46,99455.44,99916.91,99944.22,142673.83,147115.52,152985.52,147115.52,118016.07,115128.06,102553.42
2023-04-18,115879.46,99455.44,99916.91,99944.22,142673.83,147115.52,152985.52,147115.52,118016.07,115128.06,102553.42
2023-04-19,115879.46,99455.44,99916.91,99944.22,142673.83,147115.52,152985.52,147115.52,118016.07,115128.06,102553.42
2023-04-20,115879.46,99455.44,99916.91,99944.22,142673.83,147115.52,152985.52,147115.52,118016.07,115128.06,102553.42
2023-04-21,115879.46,99455.44,99916.91,99944.22,142673.83,147115.52,152985.52,147115.52,118016.07,115128.06,102553.42
2023-04-24,115879.46,99455.44,99916.91,99944.22,142673.83,147115.52,152985.52,147115.52,118016.07,115128.06,102553.42
2023-04-25,115879.46,99455.44,99916.91,99944.22,142673.83,147115.52,152985.52,147115.52,118016.07,115128.06,102553.42
