variant,ticker,entry_date,exit_date,entry_price,exit_price,pnl_pct,r_multiple,exit_reason,same_bar_stop
delay_15m,BK,2024-08-28,2024-09-12,64.6823,66.5467,2.8824,2.8035,time_exit,False
delay_15m,CME,2024-09-06,2024-09-13,203.8069,201.869,-0.9508,-1.0989,stop_hit,False
delay_15m,ADBE,2024-09-12,2024-09-13,584.5671,536.6815,-8.1916,-6.4355,stop_hit,False
delay_15m,ACN,2024-09-11,2024-09-17,337.8789,327.0764,-3.1971,-3.6054,stop_hit,False
delay_15m,AEP,2024-09-03,2024-09-18,95.9179,97.961,2.13,2.6059,time_exit,False
delay_15m,ABT,2024-09-11,2024-09-18,112.5112,110.8645,-1.4636,-1.9267,stop_hit,False
delay_15m,AMT,2024-09-04,2024-09-19,218.094,218.4607,0.1681,0.1555,time_exit,False
delay_15m,EBAY,2024-09-09,2024-09-24,58.044,63.938,10.1544,8.6074,time_exit,False
delay_15m,MCD,2024-09-09,2024-09-24,280.9054,289.875,3.1931,3.5004,time_exit,False
delay_15m,ADP,2024-09-11,2024-09-26,266.4281,264.7875,-0.6158,-0.7593,time_exit,False
delay_15m,AMZN,2024-09-12,2024-09-27,186.0555,187.7861,0.9301,0.6244,time_exit,False
delay_15m,ALL,2024-09-17,2024-09-27,185.0625,182.7686,-1.2395,-1.1909,stop_hit,False
delay_15m,AMAT,2024-09-26,2024-09-27,207.2386,202.0589,-2.4994,-1.3043,stop_hit,False
delay_15m,APD,2024-09-13,2024-09-30,270.17,284.4777,5.2958,5.5106,time_exit,False
delay_15m,BK,2024-09-13,2024-09-30,66.5683,69.2554,4.0366,3.9821,time_exit,False
delay_15m,AMAT,2024-09-27,2024-09-30,204.9524,199.3003,-2.7578,-1.3166,stop_hit,False
delay_15m,AZO,2024-09-27,2024-09-30,3195.4444,3154.1321,-1.2928,-1.1384,stop_hit,False
delay_15m,AVGO,2024-09-24,2024-10-01,171.6758,165.0874,-3.8377,-1.3765,stop_hit,False
delay_15m,AXP,2024-09-18,2024-10-03,258.3491,263.5582,2.0163,1.4271,time_exit,False
delay_15m,BKNG,2024-09-18,2024-10-03,159.4047,162.3388,1.8407,1.7512,time_exit,False
delay_15m,BDX,2024-09-30,2024-10-03,183.8069,180.4497,-1.8264,-1.5464,stop_hit,False
delay_15m,CMCSA,2024-09-30,2024-10-03,36.5733,35.972,-1.644,-1.1323,stop_hit,False
