ticker,ex_date,entry_price,exit_price,div_amount,shares,franking,gu_yield,entry_rsi,price_pnl,div_income,franking_credit,total_gu_pnl,ret_price,ret_gu,stopped_out,held_days
RIO.AX,2024-08-15,118.29000091552734,109.96084293900365,2.616988,4,1.0,0.03160498991274878,50.43616071831014,-33.816631906094756,0.0,0.0,-33.816631906094756,-0.07146976000584301,-0.07146976000584301,True,15
RIO.AX,2025-03-06,119.05999755859375,119.52999877929688,3.713178,4,1.0,0.04455350334934656,48.39818393615258,1.3800048828125,14.852712,6.365448000000001,22.5981648828125,0.0028977089516009553,0.047451212300947516,False,15
RIO.AX,2025-08-14,111.87000274658203,115.41999816894531,2.219723,4,1.0,0.02834569392410015,47.55629767319557,13.699981689453125,8.878892,3.805239428571429,26.384113118024555,0.030615851776833226,0.05896154570093338,False,15
KGN.AX,2024-04-12,7.920000076293945,6.959616970812226,0.075,63,1.0,0.013528138397820973,54.167435982040146,-61.004135645348335,0.0,0.0,-61.004135645348335,-0.12226257627403198,-0.12226257627403198,True,15
KGN.AX,2024-09-11,4.670000076293945,5.03000020980835,0.075,107,1.0,0.022942795587250698,59.964290923210896,38.02001428604126,8.025,3.439285714285715,49.484300000326975,0.07608720139467877,0.09902999698192946,False,15
KGN.AX,2025-03-13,4.960000038146973,4.739999771118164,0.07,100,1.0,0.020161290167521738,52.2760435520748,-22.50002670288086,7.000000000000001,3.0000000000000004,-12.50002670288086,-0.04536295671337684,-0.025201666545855102,False,15
KGN.AX,2025-09-11,3.930000066757202,3.5299999713897705,0.07,127,1.0,0.02544529218863702,45.815048726109055,-51.30001211166382,8.89,3.8100000000000005,-38.600012111663816,-0.10278297617810267,-0.07733768398946564,False,15
TWE.AX,2023-08-31,11.807345390319824,11.44114875793457,0.168252,42,1.0,0.020356819594441408,59.928817624248204,-15.880258560180664,7.066584000000001,3.028536000000001,-5.785138560180663,-0.03202255729725666,-0.011665737702815246,False,15
TWE.AX,2024-08-28,12.229999542236328,11.275704918700773,0.19,40,1.0,0.02219366979460566,52.69523558181389,-38.67178494142219,0.0,0.0,-38.67178494142219,-0.07905107601980912,-0.07905107601980912,True,15
TWE.AX,2025-03-05,10.899999618530273,9.881098341127997,0.2,45,1.0,0.02621232070765987,52.212040778209484,-46.350557483102456,0.0,0.0,-46.350557483102456,-0.09449655271201486,-0.09449655271201486,True,15
TWE.AX,2025-08-27,7.929999828338623,7.639999866485596,0.2,63,1.0,0.036029545006200134,56.588135435346345,-18.769997596740723,12.600000000000001,5.4,-0.7699975967407209,-0.037570804065446564,-0.00154125905924643,False,15
BPT.AX,2023-09-04,1.5299999713897705,1.625,0.02,326,1.0,0.018674136670392097,44.915953216162535,30.470009326934814,6.5200000000000005,2.7942857142857145,39.78429504122053,0.06108907714164292,0.07976321381203502,False,15
BPT.AX,2024-02-28,1.7899999618530273,1.6110967813269574,0.02,279,1.0,0.015961692279507715,67.83120261243224,-50.413987366773505,0.0,0.0,-50.413987366773505,-0.10094709445376339,-0.10094709445376339,True,15
BPT.AX,2024-08-29,1.309999942779541,1.1517968480526755,0.02,381,1.0,0.02181025177055053,36.829989677428756,-60.77537909093578,0.0,0.0,-60.77537909093578,-0.12176750965836916,-0.12176750965836916,True,15
BPT.AX,2025-02-27,1.4199999570846558,1.4149999618530273,0.03,352,1.0,0.03018108743124973,44.79747729231349,-2.259998321533203,10.559999999999999,4.525714285714286,12.825715964181082,-0.004521443641635404,0.025659643789614325,False,15
BPT.AX,2025-08-28,1.25,1.1699999570846558,0.06,400,1.0,0.06857142857142857,45.35232847068611,-32.500017166137695,24.0,10.285714285714285,1.7856971195765894,-0.06500003433227539,0.003571394239153179,False,15
TLC.AX,2023-08-29,5.139999866485596,4.857365260118743,0.06,97,1.0,0.016675931505984978,43.35315809351893,-27.915556817584697,0.0,0.0,-27.915556817584697,-0.055990127046225434,-0.055990127046225434,True,15
TLC.AX,2024-02-28,5.03000020980835,5.139999866485596,0.08,99,1.0,0.022720817001729062,56.42552734052865,10.389966011047363,7.92,3.394285714285714,21.70425172533308,0.020864641600231614,0.043585458601960676,False,15
